,P1,P2,Dist,Lvl
107,29728.0,50211.0,0.0009546862386267393,2.0
108,21279.0,53273.0,0.0009601435760015298,2.0
109,590.0,17338.0,0.0009615656065071786,2.0
110,7364.0,12267.0,0.0009647240304370668,2.0
111,7974.0,61921.0,0.000969589411583456,2.0
112,6766.0,10166.0,0.0009725869960364984,2.0
113,61722.0,61734.0,0.0009746535259542259,2.0
114,34341.0,39091.0,0.0009763859831613618,2.0
115,14789.0,21567.0,0.0009770262291858753,2.0
116,13594.0,65429.0,0.0009780586635675373,2.0
117,10487.0,65637.0,0.0009788905313945833,2.0
118,12801.0,68150.0,0.000979874154489753,2.0
119,24018.0,67062.0,0.0009935486382524118,2.0
120,433.0,24404.0,0.0010010098524309541,2.0
121,29725.0,29726.0,0.0010023084907347254,2.0
